小区,户型,面积,价格,单价,朝向,电梯,位置,地铁
米兰诺贵都,2室1厅1厨1卫,89.46㎡,333,37224元/平米,南,有,松江 泗泾 外环外,近9号线佘山站
嘉和阳光城,2室2厅0厨1卫,103.06㎡,479,46478元/平米,南 北,有,松江 九亭 外环外,近9号线九亭站
三湘四季花城,2室1厅1厨1卫,71.94㎡,333.5,46359元/平米,南,有,松江 松江大学城 外环外,近9号线松江大学城站
贝尚湾(公寓),2室2厅1厨1卫,97.31㎡,488,50150元/平米,南,有,松江 九亭 外环外,近9号线九亭站
星金家园,2室2厅1厨1卫,82.13㎡,320,38963元/平米,南,有,浦东 曹路 外环外,近9号线曹路站
金巷小区,2室1厅1厨1卫,90.69㎡,370,40799元/平米,西北,有,浦东 金桥 中环至外环,近9号线台儿庄路站
米兰诺贵都,2室2厅1厨1卫,90.77㎡,330,36356元/平米,南,有,松江 泗泾 外环外,近9号线佘山站
金钻苑北区,2室2厅1厨2卫,90.86㎡,369,40612元/平米,南,无,浦东 曹路 外环外,近9号线曹路站
丰舍东苑,2室2厅1厨1卫,87.55㎡,360,41120元/平米,南 北,无,浦东 曹路 外环外,近9号线民雷路站
新芳邻,2室2厅1厨1卫,86.67㎡,360,41537元/平米,南 北,无,浦东 曹路 外环外,近9号线顾唐路站
曹路家苑,2室2厅1厨1卫,91.49㎡,448,48968元/平米,南,有,浦东 曹路 外环外,近9号线顾唐路站
新芳邻,2室2厅1厨1卫,87㎡,355,40805元/平米,南 北,无,浦东 曹路 外环外,近9号线顾唐路站
新凯一期,3室2厅2厨1卫,93.81㎡,309,32939元/平米,南 北,无,松江 泗泾 ,近9号线佘山站
新凯一期,3室2厅1厨1卫,92.95㎡,315,33890元/平米,南,无,松江 泗泾 ,近9号线佘山站
爱法花园(二期),2室2厅1厨1卫,82.46㎡,380,46083元/平米,南,无,浦东 曹路 外环外,近9号线顾唐路站
河滨城市花园,2室2厅1厨1卫,91.57㎡,450,49143元/平米,南 北,有,浦东 曹路 外环外,近9号线顾唐路站
盛世春晓苑,3室2厅1厨1卫,102.16㎡,450,44049元/平米,南,有,浦东 曹路 外环外,近9号线民雷路站
星辰园(公寓),2室2厅1厨1卫,107.55㎡,440,40912元/平米,南,有,松江 松江大学城 外环外,近9号线松江大学城站
金钻苑北区,2室2厅1厨1卫,81.54㎡,322,39490元/平米,南,无,浦东 曹路 外环外,近9号线曹路站
米兰诺贵都,2室2厅1厨1卫,87.33㎡,350,40078元/平米,南,有,松江 泗泾 外环外,近9号线佘山站
米兰诺贵都,2室2厅0厨2卫,89.57㎡,350,39076元/平米,南,有,松江 泗泾 外环外,近9号线佘山站
爱法花园(一期),2室1厅1厨1卫,87.84㎡,379,43147元/平米,南 北,无,浦东 曹路 外环外,近9号线顾唐路站
