小区,户型,面积,价格,单价,朝向,电梯,位置,地铁,信息
亭汇花苑,2室2厅1厨1卫,96.32㎡,410,42567元/平米,南,无,松江 九亭 外环外,近9号线九亭站,2室2厅中楼层/共5层南平层/简装96.32平米2004年建/板楼
新凯一期,3室2厅1厨1卫,92.78㎡,323,34814元/平米,南,无,松江 泗泾 ,近9号线佘山站,3室2厅中楼层/共6层南平层/毛坯92.78平米2006年建/板楼
美丽星城,2室2厅1厨1卫,87.26㎡,332,38048元/平米,南 北,有,松江 九亭 外环外,近9号线九亭站,2室2厅低楼层/共12层南 北平层/精装87.26平米2004年建/板楼
御上海,2室2厅0厨1卫,92.82㎡,420,45249元/平米,南,有,松江 松江大学城 外环外,近9号线松江大学城站,2室2厅中楼层/共11层南平层/简装92.82平米2009年建/板楼
金钻苑北区,2室1厅1厨2卫,90.86㎡,320,35220元/平米,南,无,浦东 曹路 外环外,近9号线曹路站,2室1厅高楼层/共6层南平层/毛坯90.86平米2009年建/板楼
丽景苑,2室2厅1厨1卫,105.01㎡,425,40473元/平米,南,有,松江 九亭 外环外,近9号线九亭站,2室2厅中楼层/共14层南平层/精装105.01平米2007年建/板楼
米兰诺贵都,2室2厅1厨1卫,90.48㎡,365,40341元/平米,南,有,松江 泗泾 外环外,近9号线佘山站,2室2厅中楼层/共15层南平层/毛坯90.48平米2013年建/板楼
河滨城市花园,2室2厅1厨1卫,89.08㎡,379,42547元/平米,南,有,浦东 曹路 外环外,近9号线顾唐路站,2室2厅低楼层/共11层南平层/简装89.08平米2006年建/板楼
金钻苑南区,2室2厅1厨2卫,90.85㎡,360,39626元/平米,南,无,浦东 曹路 外环外,近9号线曹路站,2室2厅高楼层/共6层南平层/精装90.85平米2009年建/板楼
保利西子湾,2室2厅1厨1卫,90.42㎡,368,40699元/平米,南,有,松江 松江大学城 外环外,近9号线松江大学城站,2室2厅中楼层/共14层南平层/精装90.42平米2008年建/板楼
米兰诺贵都,2室2厅0厨1卫,89.19㎡,335,37561元/平米,南,有,松江 泗泾 外环外,近9号线佘山站,2室2厅高楼层/共19层南平层/精装89.19平米2013年建/板楼
三湘四季花城,2室2厅0厨1卫,107.29㎡,490,45671元/平米,南,有,松江 松江大学城 外环外,近9号线松江大学城站,2室2厅中楼层/共14层南平层/精装107.29平米2008年建/板楼
星辰园(公寓),2室2厅1厨1卫,98.73㎡,368,37274元/平米,南,有,松江 松江大学城 外环外,近9号线松江大学城站,2室2厅低楼层/共18层南平层/精装98.73平米2005年建/板楼
米兰诺贵都,2室1厅1厨1卫,89.46㎡,333,37224元/平米,南,有,松江 泗泾 外环外,近9号线佘山站,2室1厅低楼层/共19层南平层/精装89.46平米2013年建/板楼
嘉和阳光城,2室2厅0厨1卫,103.06㎡,479,46478元/平米,南 北,有,松江 九亭 外环外,近9号线九亭站,2室2厅中楼层/共14层南 北平层/精装103.06平米2006年建/板楼
三湘四季花城,2室1厅1厨1卫,71.94㎡,333.5,46359元/平米,南,有,松江 松江大学城 外环外,近9号线松江大学城站,2室1厅低楼层/共18层南平层/精装71.94平米2010年建/板楼
贝尚湾(公寓),2室2厅1厨1卫,97.31㎡,488,50150元/平米,南,有,松江 九亭 外环外,近9号线九亭站,2室2厅低楼层/共15层南平层/精装97.31平米2009年建/板楼
金巷小区,2室1厅1厨1卫,90.69㎡,370,40799元/平米,西北,有,浦东 金桥 中环至外环,近9号线台儿庄路站,2室1厅中楼层/共24层西北简装90.69平米2002年建/塔楼
米兰诺贵都,2室2厅1厨1卫,90.77㎡,330,36356元/平米,南,有,松江 泗泾 外环外,近9号线佘山站,2室2厅高楼层/共15层南简装90.77平米2013年建/板楼
丰舍东苑,2室2厅1厨1卫,87.55㎡,360,41120元/平米,南 北,无,浦东 曹路 外环外,近9号线民雷路站,2室2厅低楼层/共6层南 北平层/精装87.55平米2005年建/板楼
新芳邻,2室2厅1厨1卫,86.67㎡,360,41537元/平米,南 北,无,浦东 曹路 外环外,近9号线顾唐路站,2室2厅高楼层/共6层南 北平层/精装86.67平米2002年建/板楼
新芳邻,2室2厅1厨1卫,86.67㎡,379,43730元/平米,南,无,浦东 曹路 外环外,近9号线顾唐路站,2室2厅高楼层/共6层南精装86.67平米2002年建/板楼
曹路家苑,2室2厅1厨1卫,91.49㎡,448,48968元/平米,南,有,浦东 曹路 外环外,近9号线顾唐路站,2室2厅中楼层/共9层南平层/精装91.49平米2010年建/板楼
新芳邻,2室2厅1厨1卫,87㎡,355,40805元/平米,南 北,无,浦东 曹路 外环外,近9号线顾唐路站,2室2厅高楼层/共6层南 北平层/精装87平米2002年建/板楼
新凯一期,3室2厅2厨1卫,93.81㎡,309,32939元/平米,南 北,无,松江 泗泾 ,近9号线佘山站,3室2厅中楼层/共6层南 北简装93.81平米2006年建/板楼
新凯一期,3室2厅1厨1卫,92.95㎡,315,33890元/平米,南,无,松江 泗泾 ,近9号线佘山站,3室2厅高楼层/共6层南平层/简装92.95平米2006年建/板楼
爱法花园(二期),2室2厅1厨1卫,82.46㎡,380,46083元/平米,南,无,浦东 曹路 外环外,近9号线顾唐路站,2室2厅低楼层/共6层南平层/简装82.46平米2004年建/板楼
河滨城市花园,2室2厅1厨1卫,91.57㎡,450,49143元/平米,南 北,有,浦东 曹路 外环外,近9号线顾唐路站,2室2厅低楼层/共9层南 北平层/精装91.57平米2006年建/板楼
盛世春晓苑,3室2厅1厨1卫,102.16㎡,450,44049元/平米,南,有,浦东 曹路 外环外,近9号线民雷路站,3室2厅中楼层/共11层南平层/精装102.16平米2009年建/板楼
星辰园(公寓),2室2厅1厨1卫,107.55㎡,440,40912元/平米,南,有,松江 松江大学城 外环外,近9号线松江大学城站,2室2厅中楼层/共27层南毛坯107.55平米2006年建/板楼
金钻苑北区,2室2厅1厨1卫,81.54㎡,322,39490元/平米,南,无,浦东 曹路 外环外,近9号线曹路站,2室2厅高楼层/共6层南精装81.54平米2009年建/板楼
米兰诺贵都,2室2厅1厨1卫,87.33㎡,350,40078元/平米,南,有,松江 泗泾 外环外,近9号线佘山站,2室2厅高楼层/共19层南精装87.33平米2013年建/板楼
米兰诺贵都,2室2厅0厨2卫,89.57㎡,350,39076元/平米,南,有,松江 泗泾 外环外,近9号线佘山站,2室2厅高楼层/共19层南精装89.57平米2013年建/板楼
爱法花园(一期),2室1厅1厨1卫,87.84㎡,379,43147元/平米,南 北,无,浦东 曹路 外环外,近9号线顾唐路站,2室1厅中楼层/共6层南 北平层/简装87.84平米2004年建/板楼
河滨城市花园,2室1厅1厨1卫,74㎡,359,48514元/平米,南 北,无,浦东 曹路 外环外,近9号线顾唐路站,2室1厅中楼层/共6层南 北精装74平米2006年建/板楼
